Page,Index,Title,DOI,PDFLink,Downloaded
1,77,Sturdy-MASH delta-sigma modulator with noise-shaped integrating quantizer and dual-DAC DWA,10.1109/ISCAS.2015.7168635,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7168635,1
1,78,Multi Gigabit Digital Modulator for Satellite Implemented based on JESD204B protocol,10.1109/SPACE63117.2024.10668255,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10668255,1
1,79,A Beyond-1-Tb/s Coherent Optical Transmitter Front-End Based on 110-GHz-Bandwidth 2:1 Analog Multiplexer in 250-nm InP DHBT,10.1109/JSSC.2020.2989579,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9094686,1
1,80,Design of 1-1-1 Cascaded Discrete-Time Delta-Sigma Modulator based on Tracking Quantizer,10.1109/IICM60532.2023.10443154,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10443154,1
1,81,Analog-to-Digital Converters Using Not Multi-level But Multi-bit Feedback Paths,10.1109/ISMVL.2017.30,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7964958,1
1,82,A 101 dB Dynamic Range Delta-Sigma Modulator Using Modified Feed-Forward Architecture for Audio Application,10.1109/ISOCC47750.2019.9027739,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9027739,1
1,83,Higher order sigma-delta modulator loopfilter paralel form representation in Z and S domain,10.1109/INDS.2011.6024819,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6024819,1
1,84,All-optical 2-bit digital-to-analog conversion with a single semiconductor optical amplifier,10.1109/PS.2009.5307785,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5307785,1
1,85,An enhanced first-order sigma-delta modulator with a controllable signal-to-noise ratio,10.1109/TCSI.2005.859049,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1610861,1
1,86,A Linearized Analog Photonic Link Based on a Single z-Cut LiNbO3 Dual-Output Mach–Zehnder Modulator,10.1109/JPHOT.2017.2695000,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7913592,1
1,87,A TDC-Based Two-Step Quantizer With Swapper Technique for a Multibit Continuous-Time Delta–Sigma Modulator,10.1109/TCSII.2013.2291138,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6678739,1
1,88,Silicon Photonic Segmented Modulator-Based Electro-Optic DAC for 100 Gb/s PAM-4 Generation,10.1109/LPT.2015.2466654,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7185365,1
1,89,Spatial Light Modulator Design Optimization for All-Optical Analog-to-Digital Convertors (AOADC) of 40GS/s with 9.4 ENOB,10.1109/MWP54208.2022.9997657,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9997657,1
1,90,A Second-order Sigma-delta Modulator with a Hybrid Topology in 180nm CMOS,10.1109/EIConRus49466.2020.9039246,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9039246,1
1,91,A Second-Order DT Delta-Sigma Modulator with Noise-Shaping SAR Quantizer,10.1109/ISOCC59558.2023.10396177,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10396177,1
1,92,Analog Modulo Integrator For Use In Open-Loop Sigma-Delta Modulators,10.1109/NORCHP.2006.329259,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4126962,1
1,93,Asynchronous delta-sigma modulator with multiple-valued output,10.1109/ICITEED.2013.6676281,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6676281,1
1,94,A 2-MHz BW 82-dB DR Continuous-Time Delta–Sigma Modulator With a Capacitor-Based Voltage DAC for ELD Compensation,10.1109/TVLSI.2018.2841058,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8374990,1
1,95,A digital-RF converter architecture for IQ modulator with discrete-time low resolution quadrature LO,10.1109/ICECS.2013.6815496,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6815496,1
1,96,12.5-GHz optically sampled interference-based photonic arbitrary waveform Generator,10.1109/LPT.2005.859551,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1542204,1
1,97,A DEM-Free Sturdy MASH Delta-Sigma Modulator with a Highly-Linear Tri-level DAC,10.1109/EDSSC.2019.8754500,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8754500,1
1,98,The 5th Order Single-Bit Sigma-Delta Modulator with Passive Adder Design,10.1109/EDM61683.2024.10615071,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10615071,1
1,99,Superconducting high-order cascaded lowpass sigma-delta modulator,10.1109/TASC.2005.849799,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1439633,1
